Size,Selection,Bubble,Insertion,StdSort
100,0.193294,1.11097,0.52624,0.104287
250,0.942434,7.4346,1.92104,0.377822
500,4.35941,30.9045,6.59161,0.850561
750,7.09794,72.12,16.3004,1.36815
1500,37.6961,312.385,64.3889,2.09998
2500,87.0152,868.373,192.913,4.00729
5000,435.867,3630.67,890.182,9.47322
7500,990.219,8206.06,2075.6,13.9743
10000,1832,15851.8,3964.23,28.9061
15000,4280.52,27596.6,10094.5,32.5707
25000,11952.3,96269.3,34227.5,66.774
50000,50056.4,378768,160262,159.8
75000,139918,640317,345335,295.268
100000,309113,1.11679e+06,523110,403.163
125000,302726,1.56663e+06,733258,480.912
150000,485457,2.15941e+06,967917,485.309
